Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
888,Kemmet Dental Design ,ND,None,2000,"Theft, Other",Paper,2014-01-23,Unknown detailed,2013-11-10,Unknown Date,2013,"Theft, Other"
889,Hospice of the Chesapeake,MD,None,7606,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-08-09,Unknown Date,2013,Unauthorized Access/Disclosure
890,City of Chicago,IL,None,2080,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2013-06-18,2013-10-07,2013,Unauthorized Access/Disclosure
891,CIty of Joliet,IL,"Quality Health Claims Consultants, LLC",1573,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-10-08,Unknown Date,2013,Unauthorized Access/Disclosure
892,SIU HealthCare,IL,None,1891,"Theft, Loss",Laptop,2014-01-23,Unknown detailed,2013-09-13,2013-10-15,2013,"Theft, Loss"
893,The Good Samaritan Health Center,GA,None,5000,Other,Desktop Computer,2014-01-23,Unknown detailed,2013-11-06,Unknown Date,2013,Other
894,UniHealth Source,GA,None,4500,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-08,Unknown Date,2013,Theft
895,Walgreen Co.,IL,None,17350,Other,Paper,2014-01-23,Unknown detailed,2013-09-18,2013-10-04,2013,Other
896,Florida Digestive Health Specialists,FL,None,4400,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2013-03-06,2013-09-09,2013,Unauthorized Access/Disclosure
897,"Northside Hospital, Inc.",GA,None,4879,Loss,Laptop,2014-01-23,Unknown detailed,2013-10-10,Unknown Date,2013,Loss
898,"Health Help, Inc.",KY,None,535,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-10-15,Unknown Date,2013,Theft
899,L.A. Gay & Lesbian Center,CA,None,59000,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-09-17,2013-11-08,2013,Hacking/IT Incident
900,Wm. Jennings Bryan Dorn VAMC,SC,None,7405,Loss,Laptop,2014-01-23,Unknown detailed,2013-02-11,Unknown Date,2013,Loss
901,John J. Pershing VA Medical Center,MO,None,589,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), John J. Pershing VA Medical Center, after the CE reported that its business associate (BA), Stress Laboratory, placed a box of unsecured protected health information (PHI) in an equipment storage room.  The PHI included the names, social security numbers, diagnoses, and age of approximately 589 individuals.  This breach incident involved a BA, and occurred prior to the September 23, 2013 compliance date.  The BA employee involved in this matter separated from employment in 2012, and the BA was reorganized and has been incorporated into the CE.  The CE provided breach notification to affected individuals, HHS, and the media.  Substitute notification was provided through a posting on the CE's main website with a toll-free information number.  The CE also offered one year of identity protection and credit monitoring services to affected individuals.  As a result of this incident, the CE adopted a new policy that provides guidance to its staff regarding the handling of PHI.  Additionally, the CE trained its employees on this new policy, and re-trained its employees on the Privacy, Security, and Breach Notification Rules.  Finally, OCR obtained assurances that the CE implemented the corrective action listed above.



",2013-02-20,Unknown Date,2013,Theft
902,Oregon Health & Science University,OR,None,1076,Theft,Laptop,2014-01-23,Unknown detailed,2013-02-22,Unknown Date,2013,Theft
903,Schneck Medical Center,IN,None,3131,Unauthorized Access/Disclosure,Other,2014-02-12,Unknown detailed,2013-03-14,Unknown Date,2013,Unauthorized Access/Disclosure
904,The Guidance Center of Westchester,NY,None,1416,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-02-21,Unknown Date,2013,Theft
905,"IHC Health Services, Inc. dba Intermountain Life Flight",UT,None,857,Unauthorized Access/Disclosure,Other,2014-02-12,Unknown detailed,2013-03-28,Unknown Date,2013,Unauthorized Access/Disclosure
906,Shiloh Medical Clinic,MT,None,1900,Unauthorized Access/Disclosure,"Desktop Computer, E-mail",2014-01-23,Unknown detailed,2013-11-08,Unknown Date,2013,Unauthorized Access/Disclosure
907,South Carolina Health Insurance Pool,SC,DeLoach & Williamson,3432,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-16,Unknown Date,2013,Theft
908,Tennova Cardiology,TN,Colby DeHart,2777,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-21,Unknown Date,2013,Theft
909,Delta Dental of Pennsylvania,PA,ZDI,1674,Loss,Paper,2014-03-13,Unknown detailed,2013-10-16,Unknown Date,2013,Loss
910,"Molina Healthcare of Texas, Inc.",TX,None,2826,Other,Paper,2014-01-23,Unknown detailed,2013-10-01,Unknown Date,2013,Other
911,"Rob Meaglia, DDS",CA,None,1400,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-12-16,Unknown Date,2013,Theft
912,Jeff Spiegel,MA,None,832,Unauthorized Access/Disclosure,E-mail,2014-03-13,Unknown detailed,2013-11-25,Unknown Date,2013,Unauthorized Access/Disclosure
913,Tranquility Counseling Services,NC,None,1683,Other,Paper,2014-01-23,Unknown detailed,2013-11-01,Unknown Date,2013,Other
914,Florida Department of Health,FL,None,2354,Unauthorized Access/Disclosure,Desktop Computer,2014-03-05,Unknown detailed,2013-10-30,Unknown Date,2013,Unauthorized Access/Disclosure
915,"New Mexico Oncology Hematology Consultants, LTD",NM,None,12354,Theft,Laptop,2014-01-23,Unknown detailed,2013-11-13,Unknown Date,2013,Theft
916,Department of Health Care Policy & Financing,CO,Colorado Community Health Alliance (CCHA)/Physicians Health Partners,1918,Unauthorized Access/Disclosure,E-mail,2014-02-21,Unknown detailed,2013-11-21,Unknown Date,2013,Unauthorized Access/Disclosure
917,"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,None,839711,Theft,Laptop,2014-02-21,Unknown detailed,2013-11-01,Unknown Date,2013,Theft
918,Kaiser Foundation Hospital- Orange County,CA,None,49000,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-09-25,Unknown Date,2013,Loss
919,Jones Chiropractic and Maximum Health,IN,None,1500,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-10-13,Unknown Date,2013,Theft
920,Ronald Schubert MD PLLC,WA,None,950,Theft,Laptop,2014-01-23,Unknown detailed,2013-11-22,Unknown Date,2013,Theft
921,UW Medicine,WA,None,76183,Hacking/IT Incident,Desktop Computer,2014-02-18,Unknown detailed,2013-10-02,Unknown Date,2013,Hacking/IT Incident
922,Phoebe Putney Memorial Hospital,GA,None,6989,Loss,Desktop Computer,2014-02-11,Unknown detailed,2013-11-05,Unknown Date,2013,Loss
923,University of Pennsylvania Health System,PA,"RevSpring, Inc.",3000,Other,Paper,2014-02-11,Unknown detailed,2013-11-26,Unknown Date,2013,Other
924,North Carolina Department of Health and Human Services ,NC,None,48752,Unauthorized Access/Disclosure,Other,2014-02-11,Unknown detailed,2013-12-30,Unknown Date,2013,Unauthorized Access/Disclosure
925,101 FAMILY MEDICAL GROUP,CA,"Phreesia, Inc",2500,Theft,Laptop,2014-02-11,Unknown detailed,2013-11-23,Unknown Date,2013,Theft
926,Tri Lakes Medical Center,MS,None,1489,Hacking/IT Incident,Network Server,2014-02-11,Unknown detailed,2013-09-20,Unknown Date,2013,Hacking/IT Incident
927,VA Dept. of Medical Assistance Services,VA,Virginia Premier Health Plan (VPHP),25513,"Unauthorized Access/Disclosure, Other",Paper,2014-02-11,Unknown detailed,2013-11-15,Unknown Date,2013,"Unauthorized Access/Disclosure, Other"
928,Cook County Health & Hospitals System,IL,None,22511,Other,E-mail,2014-02-11,Unknown detailed,2013-11-12,Unknown Date,2013,Other
929,Southwest General Health Center,OH,None,953,Unknown,Other,2014-05-30,Unknown detailed,2013-04-13,2013-10-31,2013,Unknown
930,Urology Centers of Alabama PC and Urology Health Foundation,AL,"Birmingham Printing and Publishing, Inc dba Paper Airplane",1085,Other,Other,2014-06-03,Unknown detailed,2013-08-22,Unknown Date,2013,Other
931,Medical Mutual of Ohio,OH,None,1420,Unauthorized Access/Disclosure,Paper,2014-06-13,Unknown detailed,2013-10-16,Unknown Date,2013,Unauthorized Access/Disclosure
932,Unity Health Plans Insurance Corporation,WI,University of Wisconsin-Madison School of Pharmacy,41437,Loss,Other Portable Electronic Device,2014-02-21,Unknown detailed,2013-12-12,Unknown Date,2013,Loss
933,The University of Texas MD Anderson Cancer Center,TX,None,3598,Loss,Other Portable Electronic Device,2014-02-11,Unknown detailed,2013-12-02,Unknown Date,2013,Loss
934,Mosaic,NE,None,3857,Other,E-mail,2014-01-23,Unknown detailed,2013-10-11,Unknown Date,2013,Other
935,New Jersey Department of Human Services,NJ,Island Peer Review Organization,9642,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-10-18,Unknown Date,2013,Loss
936,"Fairfax County, Virginia",VA,Molina Healthcare In,1499,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2013-09-09,2013-10-03,2013,Unauthorized Access/Disclosure
937,Wyoming Department of Health,WY,None,11935,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2013-10-16,Unknown Date,2013,Unauthorized Access/Disclosure
938,Beebe Medical Center,DE,None,1883,Other,Laptop,2014-02-21,Unknown detailed,2013-09-02,Unknown Date,2013,Other
939,St. Joseph Health System ,TX,None,405000,Hacking/IT Incident,Network Server,2014-02-11,Unknown detailed,2013-12-16,Unknown Date,2013,Hacking/IT Incident
940,"Min Yi, M.D.",CA,None,4676,Theft,Other Portable Electronic Device,2014-02-21,Unknown detailed,2013-05-28,Unknown Date,2013,Theft
941,Easter Seal Society of Superior California,CA,None,3026,Theft,Laptop,2014-02-21,Unknown detailed,2013-12-10,Unknown Date,2013,Theft
942,PruittHealth Pharmacy Services,GA,None,841,Theft,Laptop,2014-02-25,Unknown detailed,2013-12-06,Unknown Date,2013,Theft
943,"RGH Enterprises, Inc.",OH,None,4230,Theft,Network Server,2014-06-24,"Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entity's (CE's) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised ",2013-03-09,2013-03-11,2013,Theft
944,Network Pharmacy Knoxville,TN,None,9602,Theft,Laptop,2014-02-11,Unknown detailed,2013-11-18,Unknown Date,2013,Theft
945,Saint Francis Hospital and Medical Center,CT,None,858,Theft,Paper,2014-03-24,Unknown detailed,2013-12-27,Unknown Date,2013,Theft
946,Health Dimensions,MI,None,5370,Theft,Network Server,2014-02-11,Unknown detailed,2013-11-02,Unknown Date,2013,Theft
947,COMPLETE MEDICAL HOMECARE,KS,None,1700,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-11,Unknown detailed,2013-12-12,Unknown Date,2013,Unauthorized Access/Disclosure
948,Hospital for Special Surgery,NY,None,937,Theft,"Desktop Computer, Paper",2014-02-26,Unknown detailed,2013-03-19,Unknown Date,2013,Theft
949,The Brooklyn Hospital Center,NY,None,2172,Loss,Other Portable Electronic Device,2014-02-24,Unknown detailed,2013-12-02,Unknown Date,2013,Loss
950,WA State Department of Social & Health Services,WA,None,3104,"Unauthorized Access/Disclosure, Other",Paper,2014-04-21,Unknown detailed,2013-08-19,Unknown Date,2013,"Unauthorized Access/Disclosure, Other"
951,University of Miami,FL,None,13074,Loss,Paper,2014-04-21,Unknown detailed,2013-06-27,Unknown Date,2013,Loss
952,Carpenters Health & Welfare Trust Fund for California,CA,"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",2400,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-03-11,2013-03-12,2013,Unauthorized Access/Disclosure
953,Kmart Corporation,IL,None,12542,Theft,Electronic Medical Record,2014-02-12,Unknown detailed,2013-03-17,Unknown Date,2013,Theft
954,Hospice and Palliative Care Center of Alamance Caswell,NC,None,5370,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-01-23,Unknown detailed,2013-02-24,Unknown Date,2013,"Theft, Unauthorized Access/Disclosure"
955,"Texas Health Care, P.L.L.C.",TX,None,554,Theft,Paper,2014-01-23,Unknown detailed,2013-03-10,Unknown Date,2013,Theft
956,"Supportive Concepts for Families, Inc.",PA,None,593,Unauthorized Access/Disclosure,Network Server,2014-02-24,Unknown detailed,2013-02-06,Unknown Date,2013,Unauthorized Access/Disclosure
957,Health Care Solutions at Home Inc.,OH,None,1139,Other,Other,2014-03-12,Unknown detailed,2013-12-17,Unknown Date,2013,Other
958,University of California Davis Medical Center,CA,None,2269,Hacking/IT Incident,E-mail,2014-04-21,Unknown detailed,2013-12-13,Unknown Date,2013,Hacking/IT Incident
959,"St. Vincent Hospital and Healthcare, Inc",IN,None,1142,Theft,Laptop,2014-03-12,Unknown detailed,2013-12-23,Unknown Date,2013,Theft
960,Inspira Health Network Inc.,NJ,None,1411,Theft,Desktop Computer,2014-03-12,Unknown detailed,2013-12-23,Unknown Date,2013,Theft
961,"Care Advantage, Inc.",VA,None,3458,Theft,Laptop,2014-03-24,Unknown detailed,2013-01-01,Unknown Date,2013,Theft
962,HealthSource of Ohio Inc.,OH,Pair Networks Inc.,8845,"Unauthorized Access/Disclosure, Other",Other,2014-03-12,Unknown detailed,2013-11-18,Unknown Date,2013,"Unauthorized Access/Disclosure, Other"
963,"The Kroger Co., for itself and its affiliates and subsidiaries",OH,None,504,Other,Electronic Medical Record,2014-04-21,Unknown detailed,2013-10-30,Unknown Date,2013,Other
964,"Cornerstone Health Care, PA",NC,None,548,"Theft, Loss",Laptop,2014-03-12,Unknown detailed,2013-12-31,Unknown Date,2013,"Theft, Loss"
965,All for Kids Pediatric Clinic,AR,Data Media,600,Other,Other,2014-03-24,Unknown detailed,2013-12-27,Unknown Date,2013,Other
966,Eureka Internal Medicine,CA,None,3534,Improper Disposal,Paper,2014-03-24,Unknown detailed,2013-09-25,Unknown Date,2013,Improper Disposal
967,Monarch Women's Health,AL,"PracMan, Inc.",1145,Hacking/IT Incident,Network Server,2014-06-02,Unknown detailed,2013-08-22,Unknown Date,2013,Hacking/IT Incident
968,"Punuru J.M. Reddy, MD, Inc.",AL,"PracMan, Inc.",1179,Hacking/IT Incident,Network Server,2014-03-25,Unknown detailed,2013-08-22,Unknown Date,2013,Hacking/IT Incident
969,Mission City Community Network,CA,None,7800,Theft,E-mail,2014-04-21,Unknown detailed,2013-05-31,Unknown Date,2013,Theft
970,"Partners In Nephrology & Endocrinology, P.C.",PA,None,5000,Other,Other,2014-03-24,Unknown detailed,2013-11-13,Unknown Date,2013,Other
971,Valley View Hospital Association,CO,None,5415,Other,"Laptop, Desktop Computer",2014-04-21,Unknown detailed,2013-09-11,Unknown Date,2013,Other
972,Hospitalists of Arizona,AZ,None,1706,Theft,Laptop,2014-03-24,Unknown detailed,2013-12-31,Unknown Date,2013,Theft
973,"United HomeCare Services, Inc.",FL,None,12299,Theft,Laptop,2014-01-23,Unknown detailed,2013-01-08,Unknown Date,2013,Theft
974,"Thomas L. Davis, Jr. DDS",OR,None,3269,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,Unknown detailed,2013-02-12,Unknown Date,2013,Theft
975,"HealthCare for Women, Inc.",MA,None,8727,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-01-18,2013-01-23,2013,Hacking/IT Incident
976,Granger Medical Clinic,UT,None,2600,"Theft, Loss, Other",Paper,2014-02-12,Unknown detailed,2013-01-17,Unknown Date,2013,"Theft, Loss, Other"
977,Texas Tech Unversity Health Sciences Center,TX,None,697,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-02-18,Unknown Date,2013,Unauthorized Access/Disclosure
978,Rite Aid #10217,RI,None,2082,"Unknown, Other",Paper,2014-02-12,Unknown detailed,2013-02-01,Unknown Date,2013,"Unknown, Other"
979,WA Department of Social and Health Services,WA,"Sunil Kakar, Psy.D.",629,Theft,Laptop,2014-01-23,Unknown detailed,2013-02-04,Unknown Date,2013,Theft
980,United Home Care Services of Southwest Florida< LLC,FL,"United HomeCare Services, Inc.",1318,Theft,Laptop,2014-01-23,Unknown detailed,2013-01-08,Unknown Date,2013,Theft
981,"catoctin Dental/Richard B. Love, DDS, PA",MD,Patterson Dental Supply/Patterson Companies,6400,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-01-03,Unknown Date,2013,Hacking/IT Incident
982,Yellowstone Boys and Girls Ranch,MT,None,543,Theft,Paper,2014-06-24,Unknown detailed,2013-07-11,Unknown Date,2013,Theft
983,Susquehanna Health,PA,None,657,Unauthorized Access/Disclosure,E-mail,2014-04-21,Unknown detailed,2013-12-05,Unknown Date,2013,Unauthorized Access/Disclosure
984,"Myriad Genetic Laboratories, Inc.",UT,None,643,Unauthorized Access/Disclosure,E-mail,2014-06-03,Unknown detailed,2013-03-06,Unknown Date,2013,Unauthorized Access/Disclosure
